club,name,position,age,overall,nationality,image,Unnamed: 7
Oxford United,M. Browne,ME PE MEI,25,65,England,/231/442/24_180.png,
Oxford United,J. McEachran,VOL MC,30,65,England,/198/704/24_180.png,
Oxford United,S. Long,LD ZAG,28,65,England,/211/203/24_180.png,
Oxford United,S. Findlay,ZAG,27,65,Scotland,/227/945/24_180.png,
Oxford United,J. Henry,MC MD PD,34,64,England,/183/442/24_180.png,
Oxford United,J. Murphy,MD ME PD,28,64,England,/206/083/24_180.png,
Oxford United,S. Eastwood,GOL,34,63,England,/173/895/24_180.png,
Oxford United,Alex Gorrín,VOL,29,63,Spain,/205/961/24_180.png,
Oxford United,T. Goodrham,MD ME PD,19,63,Ireland,/263/861/24_180.png,
Oxford United,E. McGinty,GOL,23,62,Ireland,/237/927/24_180.png,
Oxford United,S. Seddon,LE LE,25,62,England,/234/258/24_180.png,
Oxford United,S. Negru,ZAG,20,61,Ireland,/268/102/24_180.png,
Oxford United,G. O'Donkor,ATA,18,59,England,/269/930/24_180.png,
Oxford United,O. Smyth,MC MEI VOL,23,57,Northern Ireland,/267/472/24_180.png,
Oxford United,M. Woltman,MEI ATA,19,56,England,/266/761/24_180.png,
Oxford United,T. Mfuni,ZAG,19,53,England,/273/457/24_180.png,
Peterborough,J. Clarke-Harris,ATA,28,71,Jamaica,/200/779/24_180.png,
Peterborough,K. Poku,MEI MD,21,68,Ghana,/251/028/24_180.png,
Peterborough,R. Edwards,ZAG,20,68,England,/258/167/24_180.png,
Peterborough,E. Mason-Clark,ME,23,67,England,/236/784/24_180.png,
Peterborough,P. Kioso,LD LD,23,66,Ireland,/255/314/24_180.png,
Peterborough,H. Burrows,LE MEI LE,21,66,England,/248/050/24_180.png,
Peterborough,A. Collins,VOL MC,23,66,England,/240/605/24_180.png,
Peterborough,J. Knight,ZAG,25,65,England,/237/213/24_180.png,
Peterborough,H. Kyprianou,VOL MC,22,65,Cyprus,/252/883/24_180.png,
Peterborough,D. Ajiboye,MD,24,65,England,/240/977/24_180.png,
Peterborough,J. Fuchs,MC VOL,25,65,Cameroon,/228/827/24_180.png,
Peterborough,J. Randall,ME,23,64,England,/244/871/24_180.png,
Peterborough,R. Crichlow,ZAG,24,63,England,/243/869/24_180.png,
Peterborough,R. Jones,ME PE ATA,20,63,England,/254/482/24_180.png,
Peterborough,K. Tshimanga,ATA,25,63,England,/226/018/24_180.png,
Peterborough,J. Wakeling,ATA PD,21,62,England,/266/376/24_180.png,
Peterborough,R. De Havilland,VOL,22,61,England,/276/332/24_180.png,
Peterborough,N. Bilokapic,GOL,20,61,Australia,/260/156/24_180.png,
Peterborough,Z. Sturge,LE LE ZAG,19,59,England,/278/007/24_180.png,
Peterborough,K. Corbett,ATA,20,56,England,/265/606/24_180.png,
Peterborough,F. Talley,GOL,20,55,England,/271/117/24_180.png,
Peterborough,M. Mothersille,ATA,19,54,England,/278/105/24_180.png,
Peterborough,W. Blackmore,GOL,21,54,England,/258/586/24_180.png,
Peterborough,E. Fernandez,ZAG,21,53,England,/263/304/24_180.png,
Plymouth Argyle,M. Cooper,GOL,23,71,England,/240/987/24_180.png,
Plymouth Argyle,B. Mumba,ME LE LD,21,71,England,/243/353/24_180.png,
Plymouth Argyle,M. Whittaker,MD PD,22,69,England,/252/796/24_180.png,
Plymouth Argyle,D. Scarr,ZAG,28,69,England,/237/943/24_180.png,
Plymouth Argyle,Pleguezuelo,ZAG,26,69,Spain,/222/576/24_180.png,
Plymouth Argyle,R. Hardie,ATA,26,68,Scotland,/226/084/24_180.png,
Plymouth Argyle,M. Bundu,PD MD,26,68,Sierra Leone,/236/474/24_180.png,
Plymouth Argyle,J. Edwards,LD LD LE,32,68,England,/192/231/24_180.png,
Plymouth Argyle,M. Gillesphey,ZAG,27,68,England,/228/366/24_180.png,
Plymouth Argyle,J. Houghton,VOL MC,27,67,England,/213/665/24_180.png,
Plymouth Argyle,C. Hazard,GOL,25,67,Northern Ireland,/242/289/24_180.png,
Plymouth Argyle,A. Randell,MC,22,67,England,/251/306/24_180.png,
Plymouth Argyle,L. Gibson,ZAG,22,66,England,/240/496/24_180.png,
Plymouth Argyle,C. Wright,MC,23,66,England,/242/423/24_180.png,
Plymouth Argyle,M. Butcher,MC VOL,26,65,England,/230/876/24_180.png,
Plymouth Argyle,M. Miller,LE LE ME,27,64,England,/242/322/24_180.png,
Plymouth Argyle,B. Waine,ATA,22,64,New Zealand,/245/539/24_180.png,
Plymouth Argyle,T. Wright,ME MD,21,63,Ireland,/260/473/24_180.png,
Plymouth Argyle,C. Burton,GOL,26,63,England,/222/095/24_180.png,
Plymouth Argyle,S. Earley,LE LE,20,63,England,/270/376/24_180.png,
Plymouth Argyle,B. Galloway,ZAG,27,63,Zimbabwe,/209/852/24_180.png,
Plymouth Argyle,J. Endacott,LE LE,18,52,England,/271/465/24_180.png,
Plymouth Argyle,F. Issaka,ATA,16,50,Wales,/268/606/24_180.png,
Plymouth Argyle,C. Roberts,MC,17,49,England,/272/465/24_180.png,
Portsmouth,C. Bishop,ATA,26,70,England,/221/692/24_180.png,
Portsmouth,R. Poole,ZAG LD,25,69,Wales,/225/557/24_180.png,
Portsmouth,J. Rafferty,LD,29,68,Ireland,/210/029/24_180.png,
Portsmouth,J. Morrell,VOL MC,26,67,Wales,/220/677/24_180.png,
Portsmouth,M. Pack,VOL MC,32,66,England,/196/916/24_180.png,
Portsmouth,W. Norris,GOL,29,65,England,/223/082/24_180.png,
Portsmouth,A. Scully,ME PE PD,24,65,Ireland,/240/865/24_180.png,
Portsmouth,G. Whyte,MD PD,27,65,Northern Ireland,/244/655/24_180.png,
Portsmouth,C. Ogilvie,LE,27,65,England,/222/399/24_180.png,
Portsmouth,R. Towler,ZAG,21,65,England,/258/616/24_180.png,
Portsmouth,T. Lowery,MC VOL,25,65,England,/235/771/24_180.png,
Portsmouth,S. Raggett,ZAG,29,65,England,/238/450/24_180.png,
Portsmouth,P. Lane,MD MC,22,65,Northern Ireland,/264/644/24_180.png,
Portsmouth,Z. Swanson,LD,22,64,England,/253/057/24_180.png,
Portsmouth,J. Sparkes,LE LE,22,64,England,/240/606/24_180.png,
Portsmouth,C. Saydee,ATA MEI,21,64,England,/254/858/24_180.png,
Portsmouth,B. Stevenson,MC VOL,26,64,England,/228/638/24_180.png,
Portsmouth,J. Martin,PE,21,64,England,/251/346/24_180.png,
Portsmouth,C. Shaughnessy,ZAG,27,64,Ireland,/219/551/24_180.png,
Portsmouth,D. Hume,LE LE,24,62,England,/236/209/24_180.png,
Portsmouth,R. Schofield,GOL,23,62,England,/237/176/24_180.png,
Portsmouth,K. Yengi,ATA PE ME,24,62,Australia,/253/383/24_180.png,
Portsmouth,T. Devlin,MC,19,60,Northern Ireland,/276/070/24_180.png,
Portsmouth,L. Vincent,LE ZAG,20,56,England,/262/640/24_180.png,
Portsmouth,J. Dockerill,VOL ZAG,18,52,England,/276/648/24_180.png,
Preston North End,F. Woodman,GOL,26,74,England,/222/514/24_180.png,
Preston North End,B. Whiteman,VOL MC,27,74,England,/225/071/24_180.png,
Preston North End,J. Storey,ZAG,25,71,England,/235/464/24_180.png,
Preston North End,A. Browne,MC MEI LD,28,71,Ireland,/216/464/24_180.png,
Preston North End,M. Osmajić,ATA,23,71,Montenegro,/263/230/24_180.png,
Preston North End,B. Potts,LD LD,28,70,England,/206/653/24_180.png,
Preston North End,W. Keane,ATA,30,70,Ireland,/201/911/24_180.png,
Preston North End,D. Holmes,MEI MD PD,28,70,United States,/213/948/24_180.png,
Preston North End,A. McCann,MC,23,70,Northern Ireland,/243/520/24_180.png,
Preston North End,M. Frøkjær,MEI PE,23,70,Denmark,/243/876/24_180.png,
Preston North End,A. Hughes,ZAG LE LE,31,70,Wales,/214/906/24_180.png,
Preston North End,C. Evans,ATA,34,70,Wales,/186/127/24_180.png,
Preston North End,E. Riis,ATA,25,70,Denmark,/231/616/24_180.png,
Preston North End,R. Brady,LE MC,31,69,Ireland,/201/884/24_180.png,
Preston North End,J. Whatmough,ZAG,26,69,England,/211/166/24_180.png,
Preston North End,L. Lindsay,ZAG,27,69,Scotland,/215/638/24_180.png,
Preston North End,L. Millar,ME PE LE,23,69,Canada,/240/925/24_180.png,
Preston North End,R. Ledson,VOL MC,25,68,England,/222/836/24_180.png,
Preston North End,G. Cunningham,ZAG LE LE,32,68,Ireland,/198/190/24_180.png,
Preston North End,P. Bauer,ZAG,30,67,Germany,/204/496/24_180.png,
Preston North End,B. Woodburn,MEI PE,23,66,Wales,/236/248/24_180.png,
Preston North End,D. Cornell,GOL,32,64,Wales,/190/179/24_180.png,
Preston North End,L. Stewart,ATA,20,62,England,/276/967/24_180.png,
Preston North End,K. Best,LE LE ZAG,17,62,England,/277/286/24_180.png,
Preston North End,N. Mawene,MC MEI,18,58,England,/272/705/24_180.png,
Preston North End,F. Rodríguez-Gentile,ATA,16,57,Argentina,/276/466/24_180.png,
Preston North End,K. Taylor,MC ZAG,18,56,England,/276/910/24_180.png,
Preston North End,J. Seary,LD LD,18,56,Ireland,/277/325/24_180.png,
Preston North End,K. Kamara,MC,17,55,England,/272/986/24_180.png,
Sheffield Wednesday,B. Bannan,MC MEI,33,72,Scotland,/183/540/24_180.png,
Sheffield Wednesday,D. Vásquez,GOL,25,71,Colombia,/233/189/24_180.png,
Sheffield Wednesday,J. Windass,ATA MEI ME,29,70,England,/219/216/24_180.png,
Sheffield Wednesday,L. Palmer,LD ZAG VOL,31,69,Scotland,/198/377/24_180.png,
Sheffield Wednesday,M. Smith,ATA,31,68,England,/190/583/24_180.png,
Sheffield Wednesday,G. Byers,MC VOL,27,68,Scotland,/224/855/24_180.png,
Sheffield Wednesday,D. Bernard,ZAG LD,22,68,Jamaica,/253/034/24_180.png,
Sheffield Wednesday,J. Delgado,LD MD,30,68,Chile,/214/313/24_180.png,
Sheffield Wednesday,M. Diaby,VOL MC,26,68,France,/248/831/24_180.png,
Sheffield Wednesday,M. Ihiekwe,ZAG,30,68,England,/205/584/24_180.png,
Sheffield Wednesday,R. James,LE ZAG MC,29,68,England,/211/514/24_180.png,
Sheffield Wednesday,W. Vaulks,VOL MC,29,68,Wales,/208/769/24_180.png,
Sheffield Wednesday,L. Gregory,ATA,34,67,England,/223/551/24_180.png,
Sheffield Wednesday,C. Dawson,GOL,27,67,England,/214/088/24_180.png,
Sheffield Wednesday,D. Iorfa,ZAG LD,28,67,England,/218/658/24_180.png,
Sheffield Wednesday,B. Diaby,ZAG,25,67,Senegal,/243/571/24_180.png,
Sheffield Wednesday,A. Musaba,MD PD ATA,22,66,Netherlands,/258/165/24_180.png,
Sheffield Wednesday,A. Famewo,ZAG LE,24,66,England,/235/267/24_180.png,
Sheffield Wednesday,M. Wilks,ATA MD,24,66,England,/236/938/24_180.png,
Sheffield Wednesday,M. Johnson,LE ME,32,66,England,/227/675/24_180.png,
Sheffield Wednesday,C. Paterson,ATA LD,28,65,Scotland,/210/724/24_180.png,
Sheffield Wednesday,Pol Valentín,LD MD LD,26,64,Spain,/236/390/24_180.png,
Sheffield Wednesday,T. Bakinson,MC VOL,24,64,England,/233/804/24_180.png,
Sheffield Wednesday,D. Gassama,ATA PE,19,62,France,/271/716/24_180.png,
Sheffield Wednesday,C. Brennan,ZAG,23,60,Ireland,/254/317/24_180.png,
Sheffield Wednesday,P. Charles,GOL,17,55,Northern Ireland,/273/839/24_180.png,
Sheffield Wednesday,S. Fusire,MC LD,18,53,England,/274/394/24_180.png,
Shrewsbury,M. Maroši,GOL,29,67,Slovakia,/221/531/24_180.png,
Shrewsbury,C. Dunkley,ZAG,31,67,England,/226/102/24_180.png,
Shrewsbury,T. Bayliss,MEI MC,24,66,England,/239/553/24_180.png,
Shrewsbury,D. Udoh,ATA PE,26,66,Nigeria,/233/572/24_180.png,
Shrewsbury,J. Shipley,LE,25,66,Ireland,/233/378/24_180.png,
Shrewsbury,C. Winchester,MC VOL,30,65,Northern Ireland,/201/901/24_180.png,
Shrewsbury,T. Flanagan,ZAG,31,65,Northern Ireland,/194/785/24_180.png,
Shrewsbury,G. Nurse,LE ZAG,24,65,England,/241/397/24_180.png,
Shrewsbury,M. Feeney,ZAG,24,64,England,/233/782/24_180.png,
Shrewsbury,N. Kenneh,VOL MC,20,63,Liberia,/255/120/24_180.png,
Shrewsbury,E. Bennett,LD,34,63,England,/186/595/24_180.png,
Shrewsbury,A. O'Brien,ATA ME,29,63,Ireland,/203/491/24_180.png,
Shrewsbury,M. Benning,LE,29,62,England,/208/812/24_180.png,
Shrewsbury,A. Pierre,ZAG,30,62,Grenada,/203/809/24_180.png,
Shrewsbury,M. Mata,ATA,22,62,New Zealand,/254/138/24_180.png,
Shrewsbury,T. Perry,MC,21,62,England,/244/715/24_180.png,
Shrewsbury,T. Bloxham,MD ATA PD,19,62,England,/261/732/24_180.png,
Shrewsbury,R. Bowman,ATA,31,62,England,/197/945/24_180.png,
Shrewsbury,H. Burgoyne,GOL,26,60,England,/228/385/24_180.png,
Shrewsbury,J. Anderson,ZAG,22,60,England,/273/898/24_180.png,
Shrewsbury,T. Sobowale,LD LD MC,24,59,Ireland,/257/775/24_180.png,
Shrewsbury,M. Parker,ZAG LE,18,56,England,/275/625/24_180.png,
Shrewsbury,J. Sraha,ZAG,20,55,England,/264/255/24_180.png,
Shrewsbury,N. Owusu,LD,18,52,England,/275/700/24_180.png,
Shrewsbury,H. Watts,MD,17,52,England,/277/681/24_180.png,
Shrewsbury,J. Bailey,LE,18,52,England,/272/535/24_180.png,
Sunderland,J. Clarke,ME LE,22,74,England,/242/908/24_180.png,
Sunderland,D. Ballard,ZAG,23,72,Northern Ireland,/243/908/24_180.png,
Sunderland,A. Patterson,GOL,23,72,England,/246/417/24_180.png,
Sunderland,D. Neil,VOL MC,21,71,England,/258/483/24_180.png,
Sunderland,P. Roberts,MD MEI,26,71,England,/221/982/24_180.png,
Sunderland,T. Hume,LD ZAG LE,21,70,Northern Ireland,/266/400/24_180.png,
Sunderland,A. Aouchiche,ME MEI MC,20,70,France,/253/102/24_180.png,
Sunderland,T. Pembélé,LD LD,20,70,France,/257/270/24_180.png,
Sunderland,A. Pritchard,MEI MC,30,69,England,/205/351/24_180.png,
Sunderland,B. Dack,MEI MC,29,69,England,/211/098/24_180.png,
Sunderland,L. O'Nien,ZAG LE VOL,28,69,England,/215/700/24_180.png,
Sunderland,D. Cirkin,LE ZAG,21,68,England,/256/831/24_180.png,
Sunderland,A. Ba,MD MEI,19,67,France,/262/149/24_180.png,
Sunderland,N. Rusyn,ATA,24,67,Ukraine,/244/731/24_180.png,
Sunderland,P. Ekwah,VOL MC,21,67,France,/248/473/24_180.png,
Sunderland,A. Alese,LE ZAG,22,67,England,/240/867/24_180.png,
Sunderland,J. Bennette,ME,19,66,Costa Rica,/268/709/24_180.png,
Sunderland,C. Evans,VOL MC,32,66,Northern Ireland,/186/135/24_180.png,
Sunderland,N. Huggins,LE LD,22,65,Wales,/251/521/24_180.png,
Sunderland,J. Matete,MC VOL,22,65,England,/256/442/24_180.png,
Sunderland,N. Triantis,ZAG,20,65,Australia,/270/887/24_180.png,
Sunderland,N. Bishop,GOL,23,64,England,/237/188/24_180.png,
Sunderland,J. Bellingham,MEI MC,17,64,England,/270/964/24_180.png,
Sunderland,A. Bass,GOL,25,64,England,/225/134/24_180.png,
Sunderland,J. Seelt,ZAG,20,63,Netherlands,/266/467/24_180.png,
Sunderland,E. Mayenda,ATA,18,61,Spain,/271/248/24_180.png,
Sunderland,M. Burstow,ATA,19,60,England,/265/777/24_180.png,
Sunderland,Luís Semedo,ATA,19,58,Portugal,/276/425/24_180.png,
Sunderland,C. Pye,LE,19,54,England,/264/333/24_180.png,
Sunderland,T. Watson,ME,17,52,England,/275/246/24_180.png,
Sunderland,E. Taylor,ME MEI LE,20,52,England,/263/990/24_180.png,
Rotherham United,V. Johansson,GOL,24,71,Sweden,/241/643/24_180.png,
Rotherham United,C. Tiéhi,VOL MC,25,70,Ivory Coast,/243/665/24_180.png,
Rotherham United,Daniel Ayala,ZAG,32,70,Spain,/194/334/24_180.png,
Rotherham United,S. Clucas,MC,32,69,England,/193/884/24_180.png,
Rotherham United,O. Rathbone,MC,26,68,England,/235/496/24_180.png,
Rotherham United,C. Humphreys-Grant,ZAG,24,68,England,/223/963/24_180.png,
Rotherham United,J. Hugill,ATA,31,68,England,/220/862/24_180.png,
Rotherham United,S. Nombe,ATA,24,67,England,/235/742/24_180.png,
Rotherham United,Cafú,VOL MEI,30,67,Portugal,/218/623/24_180.png,
Rotherham United,A. Green,MD ME ATA,24,67,England,/228/814/24_180.png,
Rotherham United,D. Phillips,GOL,28,67,England,/220/058/24_180.png,
Rotherham United,G. Hall,ZAG,31,67,England,/204/761/24_180.png,
Rotherham United,S. Morrison,ZAG,32,67,England,/187/033/24_180.png,
Rotherham United,L. Peltier,ZAG LD,36,66,England,/169/575/24_180.png,
Rotherham United,H. Odoffin,VOL MC,25,66,England,/231/199/24_180.png,
Rotherham United,S. Ferguson,LE LE ME,31,66,Northern Ireland,/192/624/24_180.png,
Rotherham United,T. Blackett,ZAG LE,29,65,England,/203/265/24_180.png,
Rotherham United,J. Lindsay,MC VOL,27,65,Scotland,/227/287/24_180.png,
Rotherham United,T. Eaves,ATA,31,65,England,/198/011/24_180.png,
Rotherham United,C. Bramall,LE LE,27,64,England,/237/169/24_180.png,
Rotherham United,A. Appiah,ME MD,22,64,England,/242/841/24_180.png,
Rotherham United,G. Kelly,ATA,26,63,Ireland,/228/113/24_180.png,
Rotherham United,J. Kayode,ATA PD,23,62,Ireland,/240/967/24_180.png,
Rotherham United,T. Bola,LE LE,24,59,England,/233/441/24_180.png,
Rotherham United,N. Ford,GOL,19,56,England,/277/609/24_180.png,
Rotherham United,J. Ayres,ATA,17,52,England,/277/612/24_180.png,
Rotherham United,C. McGuckin,ATA,19,52,Northern Ireland,/273/979/24_180.png,
Wigan Athletic,J. Kerr,ZAG,26,69,Scotland,/225/589/24_180.png,
Wigan Athletic,S. Humphrys,ATA PD MD,25,68,England,/229/367/24_180.png,
Wigan Athletic,C. Lang,MD ATA MEI,24,67,England,/240/673/24_180.png,
Wigan Athletic,C. Wyke,ATA,30,67,England,/204/217/24_180.png,
Wigan Athletic,S. Sessegnon,LE LD LE,23,66,England,/239/800/24_180.png,
Wigan Athletic,L. Shaw,MC VOL,22,66,England,/254/315/24_180.png,
Wigan Athletic,B. Amos,GOL,33,65,England,/173/531/24_180.png,
Wigan Athletic,S. Clare,LD ZAG,26,65,England,/233/315/24_180.png,
Wigan Athletic,T. Pearce,LE LE,25,65,England,/235/347/24_180.png,
Wigan Athletic,J. Magennis,ATA,32,64,Northern Ireland,/186/562/24_180.png,
Wigan Athletic,J. Jones,PE ME MD,28,64,Northern Ireland,/212/680/24_180.png,
Wigan Athletic,T. Aasgaard,MEI ME MC,21,64,Norway,/259/185/24_180.png,
Wigan Athletic,J. Smith,PD MD,25,64,England,/235/014/24_180.png,
Wigan Athletic,M. Smith,MC VOL,22,64,England,/247/731/24_180.png,
Wigan Athletic,C. Hughes,ZAG,19,63,England,/272/895/24_180.png,
Wigan Athletic,C. McManaman,PD MD ME,32,62,England,/190/852/24_180.png,
Wigan Athletic,S. Tickle,GOL,21,61,England,/263/214/24_180.png,
Wigan Athletic,L. Morrison,ZAG,20,59,Scotland,/275/297/24_180.png,
Wigan Athletic,J. Stones,ATA,19,58,England,/277/368/24_180.png,
Wigan Athletic,B. Adeeko,MC VOL,20,57,Ireland,/263/211/24_180.png,
Wigan Athletic,L. Robinson,LE LE,21,57,Scotland,/259/389/24_180.png,
Wigan Athletic,S. Smith,MC VOL,22,55,Wales,/259/186/24_180.png,
Wigan Athletic,C. Sze,ATA MEI,19,54,England,/265/694/24_180.png,
Wycombe,M. Stryjek,GOL,26,69,Poland,/224/543/24_180.png,
Wycombe,L. Leahy,MC ZAG,30,69,England,/239/119/24_180.png,
Wycombe,J. Scowen,VOL MC,30,69,England,/203/138/24_180.png,
Wycombe,G. McCleary,MD ATA ME,36,68,Jamaica,/189/160/24_180.png,
Wycombe,R. Tafazolli,ZAG,31,67,England,/200/697/24_180.png,
Wycombe,L. Taylor,ATA,33,67,England,/190/311/24_180.png,
Wycombe,C. Forino,ZAG,23,66,Saint Lucia,/244/240/24_180.png,
Wycombe,J. Jacobson,ZAG LE,36,66,Wales,/183/449/24_180.png,
Wycombe,S. Vokes,ATA,33,65,Wales,/179/746/24_180.png,
Wycombe,J. Grimmer,ZAG LD LD,29,64,Scotland,/205/015/24_180.png,
Wycombe,J. McCarthy,LD LD,27,64,England,/215/758/24_180.png,
Wycombe,D. Wheeler,MC MD,32,64,England,/219/458/24_180.png,
Wycombe,R. Keogh,ZAG,36,64,Ireland,/163/156/24_180.png,
Wycombe,K. Sadlier,ME LD,28,63,Ireland,/210/046/24_180.png,
Wycombe,B. Hanlan,ATA,26,63,England,/230/897/24_180.png,
Wycombe,K. Vincent-Young,LD LD LE,27,63,England,/225/625/24_180.png,
Wycombe,J. Low,ZAG,21,62,Wales,/273/020/24_180.png,
Wycombe,F. Ravizzoli,GOL,25,59,Argentina,/262/718/24_180.png,
Wycombe,J. Pattenden,LD MEI,21,58,England,/270/455/24_180.png,
Wycombe,T. De Barr,ATA MEI PE,23,58,Gibraltar,/263/891/24_180.png,
Wycombe,D. Mellor,ME ATA,22,57,England,/244/004/24_180.png,
Wycombe,C. Ward,MEI,19,55,England,/271/429/24_180.png,
Wycombe,L. Shala,GOL,18,55,Kosovo,/276/966/24_180.png,
Wycombe,D. Skura,ZAG,21,54,England,/276/385/24_180.png,
Wimbledon,J. Currie,LE LE,21,64,England,/258/702/24_180.png,
Wimbledon,J. Reeves,MC VOL,30,64,England,/203/415/24_180.png,
Wimbledon,J. Tilley,MD,25,64,England,/228/642/24_180.png,
Wimbledon,A. Al Hamadi,ATA,21,63,Iraq,/263/376/24_180.png,
Wimbledon,O. Bugiel,ATA,29,62,Lebanon,/238/716/24_180.png,
Wimbledon,A. Little,MC VOL,26,62,England,/228/577/24_180.png,
Wimbledon,J. Davison,ATA,23,62,England,/254/838/24_180.png,
Wimbledon,H. Pell,MC MEI,31,62,England,/199/627/24_180.png,
Wimbledon,P. Kalambayi,ZAG,23,62,England,/233/383/24_180.png,
Wimbledon,W. Nightingale,ZAG,27,62,England,/221/538/24_180.png,
Wimbledon,N. Tzanev,GOL,26,61,New Zealand,/230/971/24_180.png,
Wimbledon,C. Lakin,MC VOL,24,61,England,/240/583/24_180.png,
Wimbledon,C. Evans,MEI,26,61,Wales,/222/714/24_180.png,
Wimbledon,A. Pearce,ZAG,34,61,Ireland,/178/584/24_180.png,
Wimbledon,J. Lewis,ZAG,23,60,Wales,/250/994/24_180.png,
Wimbledon,R. Johnson,ZAG,26,60,Northern Ireland,/220/956/24_180.png,
Wimbledon,J. Neufville,ME MD,22,60,England,/251/819/24_180.png,
Wimbledon,H. Biler,LD,21,60,England,/257/087/24_180.png,
Wimbledon,L. Brown,LE ZAG,32,60,England,/193/958/24_180.png,
Wimbledon,Z. Robinson,ATA,21,59,England,/257/277/24_180.png,
Wimbledon,I. Ogundere,LD,20,59,England,/263/938/24_180.png,
Wimbledon,J. Ball,MC MEI,27,58,England,/243/575/24_180.png,
Wimbledon,J. Hallard,LE,19,53,England,/276/242/24_180.png,
Wimbledon,M. Campbell,MEI,19,52,England,/276/241/24_180.png,
Wimbledon,A. Sasu,ATA,18,51,Norway,/274/228/24_180.png,
Wimbledon,E. Sutcliffe,ZAG,19,51,England,/276/244/24_180.png,
Simba,Luis Jose Miquissone,ATA,28,63,Mozambique,wiki/missing_player.jpg,
Simba,Moses Phiri,ATA,29,63,Zambia,wiki/missing_player.jpg,
Simba,John Bocco,ATA,34,63,Tanzania,wiki/missing_player.jpg,
Simba,Jean Othos Baleke,ATA,22,63,Tanzania,wiki/missing_player.jpg,
Simba,Denis Kibu,ATA,24,63,Tanzania,wiki/missing_player.jpg,
Simba,Clatous Chama,MEI,32,63,Zambia,wiki/missing_player.jpg,
Simba,Fabrice Ngoma,ME,29,63,Tanzania,wiki/missing_player.jpg,
Simba,Aubin Kouamé,MC,27,63,Tanzania,wiki/missing_player.jpg,
Simba,Sadio Kanoute,MC,27,63,Mali,wiki/missing_player.jpg,
Simba,Mzamiru Yasin,VOL,23,63,Tanzania,wiki/missing_player.jpg,
Simba,Kimson Mwanuke,VOL,23,63,Tanzania,wiki/missing_player.jpg,
Simba,Henoc Baka,ZAG,23,63,Tanzania,wiki/missing_player.jpg,
Simba,Che Malone,ZAG,23,63,Tanzania,wiki/missing_player.jpg,
Simba,Shomari Kapombe,ZAG,23,63,Tanzania,wiki/missing_player.jpg,
Simba,Mohamed Husseini,LE,23,63,Tanzania,wiki/missing_player.jpg,
Simba,Kennedy Juma,LD,23,63,Tanzania,wiki/missing_player.jpg,
Simba,Aishi Manula,GOL,28,63,Tanzania,wiki/missing_player.jpg,
Simba,Ayoub Lakred,GOL,27,63,Morocco,wiki/missing_player.jpg,
Petro de Luanda,Alexandre Guedes,ATA,29,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Tiago Azulão,ATA,35,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Gilberto,ATA,22,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Anderson Cruz,ATA,27,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Erivaldo,ATA,29,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Jonathan Toro,MEI,27,63,Honduras,wiki/missing_player.jpg,
Petro de Luanda,Carlinhos,ME,28,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Jaredi,MC,25,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Ricardo Job,MC,36,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,William Soares,VOL,34,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Wilson,VOL,33,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Ignacio Ferreira,ZAG,27,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,To Carneiro,ZAG,28,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Pedro Pinto,ZAG,29,63,Portugal,wiki/missing_player.jpg,
Petro de Luanda,Eddie Afonso,LE,29,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Diógenes João,LD,26,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Hugo Marques,GOL,28,63,Angola,wiki/missing_player.jpg,
Petro de Luanda,Vicente Pedro,GOL,27,63,Angola,wiki/missing_player.jpg,
Paulista Jundiaí,Nicolas Souza,VOL MC,23,58,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Carlos Antônio,LE,27,60,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Diego Telles,GOL,31,63,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Caio Adriano,ZAG,22,57,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Luis Junior,MD,26,55,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Antonio Gonçalves,LD,33,62,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Camilo Santos,VOL,30,60,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Rodrigo Nestor,ZAG,21,54,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Silvio Quitana,ATA,24,61,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Thiago Santana,ATA,30,66,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Carlos Galhardo,MC,19,56,Brazil,wiki/missing_player.jpg,
Paulista Jundiaí,Marcos Junior,GOL,23,53,Brazil,wiki/missing_player.jpg,
Paraná,Aderbalan Gomes,LD,30,63,Brazil,wiki/missing_player.jpg,
